track_id,n_points,t_nuc_ms,t_end_ms,R0_px,R_end_px,R_max_px
0,1,0.0,0.0,79.43661110412167,79.43661110412167,79.43661110412167
1,20,0.0,38.0,14.884343478431232,15.67594437773643,16.273715780512877
2,184,0.0,366.0,74.42171739215615,80.34503402082343,97.13240976361884
3,1,0.0,0.0,114.61244427649501,114.61244427649501,114.61244427649501
4,25,2.0,50.0,21.43920417481474,31.594616678674353,31.594616678674353
5,12,4.0,26.0,68.96049375973053,77.82544901447835,77.82544901447835
6,5,4.0,12.0,38.381481905452574,45.95981293168669,45.95981293168669
7,14,10.0,36.0,23.615226456547084,45.29005306431366,45.98750791035654
8,178,12.0,366.0,104.87250920723855,178.594299559534,178.70120598782376
9,28,12.0,68.0,56.24944682987451,77.57965795208892,77.57965795208892
10,1,12.0,12.0,111.40708721656073,111.40708721656073,111.40708721656073
11,117,12.0,244.0,70.57558429799896,56.09077388519958,84.2892440328077
12,8,14.0,28.0,28.07374713484229,34.595450164018,34.595450164018
13,11,16.0,36.0,24.977737626138797,47.09546991939515,47.09546991939515
14,175,18.0,366.0,109.01567736136857,99.82170443895147,115.54183929013845
15,175,18.0,366.0,100.8811363985763,84.56823589727652,117.81164745965489
16,174,20.0,366.0,55.440060073837245,89.06336151134238,89.06336151134238
17,16,22.0,52.0,67.99362313433059,89.51254914825283,89.51254914825283
18,8,22.0,36.0,22.847936741452536,36.823906842470535,37.23651251415192
19,3,22.0,26.0,121.27320388789876,121.82837671485979,121.82837671485979
20,17,22.0,54.0,36.24890633062862,49.63585920544279,49.63585920544279
21,170,24.0,362.0,29.42452872043851,104.464999583234,106.33738945823796
22,104,24.0,232.0,19.511499785403828,33.49214891450948,33.49214891450948
23,20,24.0,62.0,24.77299861870477,37.55994429663814,37.55994429663814
24,12,24.0,46.0,22.65205369339104,41.53600345623234,41.53600345623234
25,101,26.0,226.0,17.371176474327626,32.54743156102575,32.54743156102575
26,101,26.0,226.0,16.622063085174787,42.47564519686223,42.47564519686223
27,23,26.0,72.0,19.21560480373171,44.30954048488453,44.30954048488453
28,171,26.0,366.0,109.32474379768276,98.77024547788072,115.26049370780383
29,100,28.0,226.0,15.635280380893438,28.479002615897535,28.479002615897535
30,98,28.0,222.0,16.351767622932517,31.534109856442154,31.534109856442154
31,169,28.0,366.0,21.468877828012552,117.72515637892458,117.72515637892458
32,100,28.0,226.0,44.12236693447059,66.23883657762545,66.23883657762545
33,18,28.0,62.0,112.70807840533313,123.1433432134916,123.21053157858441
34,3,28.0,32.0,60.81743892548952,60.995130541020615,60.995130541020615
35,9,28.0,46.0,25.977239243415305,145.12728395794176,145.12728395794176
36,97,28.0,220.0,22.42609239636699,106.29547365706516,147.61511294104534
37,2,28.0,30.0,21.76338922689847,23.12489154112443,23.12489154112443
38,98,30.0,224.0,24.54062559633988,35.21555503711461,35.21555503711461
39,99,30.0,226.0,14.712264360219255,28.00563442518059,28.00563442518059
40,169,30.0,366.0,110.77097766388434,136.16502579749854,138.16080216425192
41,96,30.0,220.0,18.26441241104166,30.612159429303247,30.943111311580196
42,15,30.0,58.0,23.42576026046658,30.46623751157884,30.46623751157884
43,13,32.0,56.0,30.066594033278285,36.45904667847899,36.45904667847899
44,168,32.0,366.0,112.3969873389064,131.7500463505591,162.15715549389296
45,96,32.0,222.0,29.747293718772774,42.38562253431362,42.38562253431362
46,111,32.0,252.0,20.216574731145414,149.58580066027574,155.0279640788104
47,168,32.0,366.0,69.63114379608811,179.84466674023818,181.94217466978208
48,95,32.0,220.0,18.229523339239496,31.35188875547286,32.390575556198044
49,168,32.0,366.0,22.197831060995757,163.25271866157829,163.25271866157829
50,168,32.0,366.0,19.44613444328572,160.4878897314299,160.4878897314299
51,168,32.0,366.0,25.079480359432697,105.26029887039742,105.85736267834262
52,55,34.0,142.0,28.209479177387816,36.371635747926355,37.3048364477789
53,17,34.0,68.0,30.90193616185517,44.48161701780234,44.48161701780234
54,167,34.0,366.0,93.71662808479162,144.6219416318441,144.6219416318441
55,167,34.0,366.0,25.2313252202016,158.64866630490374,158.64866630490374
56,166,34.0,366.0,29.554057719513263,134.32926273893833,134.32926273893833
57,11,36.0,56.0,29.683021493047715,33.511151553720346,33.70058862844632
58,98,36.0,230.0,24.04268606686374,44.581688273680136,44.581688273680136
59,95,36.0,224.0,15.716503163191918,37.116642997494345,37.116642997494345
60,166,36.0,366.0,16.42944866646031,80.11492086378139,80.11492086378139
61,166,36.0,366.0,82.47209011523377,61.54581744998688,88.35288138352524
62,166,36.0,366.0,49.327079479621496,109.3422120000468,109.3422120000468
63,166,36.0,366.0,142.78790155277218,142.5380069151347,149.61558888026642
64,166,36.0,366.0,111.6126144559334,94.15713966551309,118.0275978699364
65,166,36.0,366.0,147.58060730407533,136.53854186277314,152.1011588642174
66,166,36.0,366.0,22.98683125324351,133.07700337669684,133.64506849691412
67,3,36.0,42.0,58.16354073095385,59.11888488713248,59.11888488713248
68,17,36.0,70.0,20.775663783985824,38.95768906550174,38.95768906550174
69,19,36.0,72.0,27.128075067297424,38.33168969174693,38.33168969174693
70,3,36.0,40.0,69.6128559050843,72.76952154957144,72.76952154957144
71,92,38.0,220.0,19.413369239820483,33.12902786925252,33.12902786925252
72,165,38.0,366.0,96.90931266894096,157.39574905921717,157.39574905921717
73,2,38.0,40.0,29.35954992478095,33.64386950500135,33.64386950500135
74,4,38.0,46.0,52.829358145442924,54.74674317533942,54.74674317533942
75,96,38.0,228.0,16.622063085174787,30.52886088189566,30.52886088189566
76,96,38.0,228.0,28.43425945768288,55.61203875206977,55.61203875206977
77,164,40.0,366.0,45.98750791035654,79.28419535038176,79.28419535038176
78,13,40.0,64.0,41.917425633434654,52.76907128551535,52.76907128551535
79,93,40.0,224.0,17.625846048215095,42.37060016186435,42.37060016186435
80,94,40.0,226.0,30.23550881198871,61.83476653824848,61.83476653824848
81,164,40.0,366.0,109.92289697572883,162.4787639063606,162.4787639063606
82,163,40.0,366.0,74.36181374055377,166.62611293700323,177.84057549170674
83,1,40.0,40.0,49.443097858968265,49.443097858968265,49.443097858968265
84,53,40.0,144.0,21.616635097022034,40.48035689163516,40.48035689163516
85,163,40.0,366.0,27.685559519911603,120.56244291941258,120.56244291941258
86,95,40.0,228.0,20.83685880248485,33.12902786925252,33.12902786925252
87,92,40.0,222.0,28.14169498849121,36.09049811604256,36.09049811604256
88,95,42.0,230.0,14.317526556719258,29.25093116572581,30.424416987387996
89,12,42.0,68.0,31.372187811504013,42.505610382385946,42.505610382385946
90,96,42.0,242.0,125.34662333717613,103.48535070611422,128.31313476402323
91,93,42.0,226.0,20.404639941160397,38.2152555638613,38.2152555638613
92,17,42.0,74.0,102.21645515325184,118.68381980457616,125.64085273360153
93,91,42.0,222.0,17.769732893161912,36.92749046999213,36.92749046999213
94,3,42.0,46.0,50.33633572304378,48.821147341538634,50.33633572304378
95,163,42.0,366.0,109.41205692061547,132.11677001340271,132.11677001340271
96,162,42.0,366.0,21.880083839428522,160.72175921009259,160.72175921009259
97,53,42.0,150.0,19.867165345562018,135.58404237551807,137.851732688321
98,2,42.0,44.0,20.71428798138497,21.049640414216977,21.049640414216977
99,163,42.0,366.0,25.003212122944625,180.32897152852632,192.54328298866656
100,68,42.0,180.0,21.996159369293583,145.18429895512332,148.9375014842669
101,163,42.0,366.0,95.9918464519168,169.27191945127845,169.47488796318999
102,159,42.0,366.0,31.14817062185505,149.42824999316744,149.700665418974
103,95,44.0,232.0,20.71428798138497,37.03078435139837,37.03078435139837
104,92,44.0,226.0,21.468877828012552,46.056672497356786,46.056672497356786
105,112,44.0,272.0,26.414679072721462,193.5589667358042,194.8701347608869
106,93,46.0,230.0,22.025082668269306,45.16336735304101,45.16336735304101
107,161,46.0,366.0,144.25611640118245,163.21761851740703,163.21761851740703
108,91,46.0,226.0,26.582850624566497,41.962963317296,41.962963317296
109,161,46.0,366.0,112.62897311170171,190.04732612037026,197.48892053562778
110,161,46.0,366.0,32.173649930800316,174.84780441468516,174.84780441468516
111,87,46.0,220.0,17.26088217525478,26.123866405607867,26.123866405607867
112,140,46.0,324.0,106.86292844915712,58.447426791300586,125.80795197682382
113,160,48.0,366.0,19.47884453275087,122.88976458641201,122.88976458641201
114,160,48.0,366.0,92.50644831667158,156.6497550131528,160.2576514767796
115,35,48.0,120.0,24.462677409178383,27.128075067297424,27.777385840094972
116,60,48.0,170.0,16.66031874701878,23.642169108157916,24.64417299969047
117,79,48.0,212.0,32.80072278626208,35.61104585035691,37.813331098140345
118,160,48.0,366.0,59.28019183056891,115.6740004306146,115.6740004306146
119,160,48.0,366.0,136.51522704917784,134.7220461179229,161.5396065036286
120,159,50.0,366.0,19.347672370394786,95.45314128997968,95.45314128997968
121,5,50.0,58.0,13.110581167104948,17.625846048215095,17.625846048215095
122,2,50.0,52.0,26.366433043273013,27.29185104880338,27.29185104880338
123,159,50.0,366.0,148.22625133204298,171.3688130883695,171.3688130883695
124,159,50.0,366.0,88.29521919341613,140.62701237254012,142.82802241068376
125,3,50.0,56.0,186.10048053764172,186.71521623690313,187.887837864315
126,8,50.0,64.0,25.25654394235911,26.26967516446403,26.26967516446403
127,86,52.0,222.0,23.803184606416586,34.318312587888485,34.318312587888485
128,75,52.0,212.0,23.26213245840639,25.003212122944625,26.749964937194992
129,2,52.0,54.0,18.712051592547777,19.21560480373171,19.21560480373171
130,86,52.0,222.0,17.075475271404667,36.97917347704738,36.97917347704738
131,158,52.0,366.0,104.3552481963406,132.82801049249798,132.82801049249798
132,157,52.0,366.0,33.851375012865375,165.17174009206397,165.17174009206397
133,158,52.0,366.0,100.88744679400352,153.36827360780129,153.36827360780129
134,158,52.0,366.0,111.51560712935358,166.90097291422808,166.90097291422808
135,158,52.0,366.0,35.75377606511099,82.65714365406588,82.65714365406588
136,2,52.0,54.0,79.99563708002411,81.37640242826897,81.37640242826897
137,158,52.0,366.0,153.9896531626319,170.6428679672642,170.6428679672642
138,157,54.0,366.0,152.54000354017006,187.31773907938248,187.31773907938248
139,86,54.0,224.0,27.891743614073043,119.25638647339508,119.25638647339508
140,5,54.0,62.0,42.129513709047444,45.64011278674415,45.64011278674415
141,6,54.0,64.0,173.87294139742303,179.05354432803446,179.89067866064906
142,6,54.0,64.0,90.9728368293446,90.91683630890748,95.63970351991588
143,87,54.0,226.0,20.248040236149336,32.390575556198044,32.390575556198044
144,3,54.0,60.0,137.36133667604716,150.0447320968222,150.0447320968222
145,156,56.0,366.0,152.7401983047763,191.87423338222678,191.87423338222678
146,5,56.0,64.0,116.56763024705296,117.74678510524687,119.28841164153448
147,91,56.0,236.0,22.903595622322865,104.10482700041197,104.10482700041197
148,84,56.0,222.0,18.47236308621676,34.76067214473376,34.76067214473376
149,86,56.0,226.0,38.64595691627193,61.74203751850985,61.74203751850985
150,82,58.0,222.0,36.44158126589425,111.40137271386574,111.40137271386574
151,153,58.0,366.0,140.69942587495626,151.14385171629803,157.48066501114192
152,3,58.0,62.0,135.5699554777978,138.09627765093188,138.09627765093188
153,155,58.0,366.0,158.41173626718862,188.14517220148647,188.14517220148647
154,54,58.0,170.0,95.97194833186501,134.13481280656632,135.3819901111764
155,1,58.0,58.0,92.92529576167016,92.92529576167016,92.92529576167016
156,30,58.0,118.0,34.16958680642984,42.714778093834084,95.31297997484596
